
                  X                  f        
               64.2538E-06         0.         
               64.3358E-06         0.         
               64.4177E-06         0.         
               64.4997E-06         0.         
               64.5816E-06         0.         
               64.6636E-06         0.         
               64.7455E-06         0.         
               64.8275E-06         0.         
               64.9095E-06         0.         
               64.9914E-06         0.         
               65.0734E-06         0.         
               65.1553E-06         0.         
               65.2373E-06         0.         
               65.3192E-06         0.         
               65.4012E-06         0.         
               65.4832E-06         0.         
               65.5651E-06         0.         
               65.6471E-06         0.         
               65.729E-06          0.         
               65.811E-06          0.         
               65.8929E-06         0.         
               65.9749E-06         0.         
               66.0568E-06         0.         
               66.1388E-06         0.         
               66.2208E-06         0.         
               66.3027E-06         0.         
               66.3847E-06         0.         
               66.4666E-06         0.         
               66.5486E-06         0.         
               66.6305E-06         0.         
               66.7125E-06         0.         
               66.7945E-06         0.         
               66.8764E-06         0.         
               66.9584E-06         0.         
               67.0403E-06         0.         
               67.1223E-06         0.         
               67.2042E-06         0.         
               67.2862E-06         0.         
               67.3681E-06         0.         
               67.4501E-06         0.         
               67.5321E-06         0.         
               67.614E-06          0.         
               67.696E-06          0.         
               67.7779E-06         0.         
               67.8599E-06         0.         
               67.9418E-06         0.         
               68.0238E-06         0.         
               68.1058E-06         0.         
               68.1877E-06         0.         
               68.2697E-06         0.         
               68.3516E-06         0.         
               68.4336E-06         0.         
               68.5155E-06         0.         
               68.5975E-06         0.         
               68.6795E-06         0.         
               68.7614E-06         0.         
               68.8434E-06         0.         
               68.9253E-06         0.         
               69.0073E-06         0.         
               69.0892E-06         0.         
               69.1712E-06         0.         
               69.2531E-06         0.         
               69.3351E-06         0.         
               69.4171E-06         0.         
               69.499E-06          0.         
               69.581E-06          0.         
               69.6629E-06         0.         
               69.7449E-06         0.         
               69.8268E-06         0.         
               69.9088E-06         0.         
               69.9908E-06         0.         
               70.0727E-06         0.         
               70.1547E-06         0.         
               70.2366E-06         0.         
               70.3186E-06         0.         
               70.4005E-06         0.         
               70.4825E-06         0.         
               70.5644E-06         0.         
               70.6464E-06         0.         
               70.7284E-06         0.         
               70.8103E-06         0.         
               70.8923E-06         0.         
               70.9742E-06         0.         
               71.0562E-06         0.         
               71.1381E-06         0.         
               71.2201E-06         0.         
               71.3021E-06         0.         
               71.384E-06          0.         
               71.466E-06          0.         
               71.5479E-06         0.         
               71.6299E-06         0.         
               71.7118E-06         0.         
               71.7938E-06         0.         
               71.8757E-06         0.         
               71.9577E-06         0.         
               72.0397E-06         0.         
               72.1216E-06         0.         
               72.2036E-06         0.         
               72.2855E-06         0.         
               72.3675E-06         0.         
               72.4494E-06         0.         
               72.5314E-06         0.         
               72.6134E-06         0.         
               72.6953E-06         0.         
               72.7773E-06         0.         
               72.8592E-06         0.         
               72.9412E-06         0.         
               73.0231E-06         0.         
               73.1051E-06         0.         
               73.187E-06          0.         
               73.269E-06          0.         
               73.351E-06          0.         
               73.4329E-06         0.         
               73.5149E-06         0.         
               73.5968E-06         0.         
               73.6788E-06         0.         
               73.7607E-06         0.         
               73.8427E-06         0.         
               73.9247E-06         0.         
               74.0066E-06         0.         
               74.0886E-06         0.         
               74.1705E-06         0.         
               74.2525E-06         0.         
               74.3344E-06         0.         
               74.4164E-06         0.         
               74.4984E-06         0.         
               74.5803E-06         0.         
               74.6623E-06         0.         
               74.7442E-06         0.         
               74.8262E-06         0.         
               74.9081E-06         0.         
               74.9901E-06         0.         
               75.0721E-06         0.         
               75.154E-06          0.         
               75.236E-06          0.         
               75.3179E-06         0.         
               75.3999E-06         0.         
               75.4818E-06         0.         
               75.5638E-06         0.         
               75.6457E-06         0.         
               75.7277E-06         0.         
               75.8097E-06         0.         
               75.8916E-06         0.         
               75.9736E-06         0.         
               76.0555E-06         0.         
               76.1375E-06         0.         
               76.2194E-06         0.         
               76.3014E-06         0.         
               76.3834E-06         0.         
               76.4653E-06         0.         
               76.5473E-06         0.         
               76.6292E-06         0.         
               76.7112E-06         0.         
